afcat,nrepeats,affinity_site_1,affinity_site_2,affinity_site_3,affinity_site_4,affinity_site_5,affinity_site_6,value
0.10,1,4.798302183841421,,,,,,-0.256159143870877
0.10,2,4.74498616903132,4.958212714867005,,,,,-0.11827308064984
0.10,3,4.577369434564155,4.802074625202785,4.658180042393896,,,,-0.0296514316713043
0.10,4,4.6649603173285765,4.639647366311937,4.79968679082857,4.767205719008817,,,0.020393849888938
0.10,5,4.886389818097233,4.740787371832337,4.7299024110482994,4.8472136888687825,4.8539958428907095,,0.0898158330636157
0.10,6,4.540280739934282,4.732272612407126,4.687118035378657,4.744691757936206,4.737489235593555,4.579196079431313,0.183400921379578
0.25,1,6.907403963978296,,,,,,0.081897271156792
0.25,2,6.914589339439872,6.889254747854543,,,,,0.0908152369330713
0.25,3,6.801830047438077,6.910897361553304,6.804321363892306,,,,0.0767176000159927
0.25,4,6.867904712326563,6.827837191218574,6.8139316235528335,6.862622883583657,,,0.0734869650433765
0.25,5,6.781178311549745,6.847910505516457,6.82281281784114,6.815375539102891,6.857246379928637,,0.0451435848056851
0.25,6,6.846514015990605,6.913460774724771,6.905538781050668,6.89423077407752,6.885481765248294,6.834195638091646,-0.0046169201747646
0.50,1,8.805318734705741,,,,,,-0.103827705218994
0.50,2,8.769975953649084,8.792285806393066,,,,,0.052734963053543
0.50,3,8.85058340128811,8.801825862961111,8.776037222810073,,,,-0.0251059085363107
0.50,4,8.83560602768987,8.9017328191396,8.825734938240045,8.784741278314613,,,-0.120694088391104
0.50,5,8.81091098869634,8.907852429992078,8.87721771892608,8.898560940027883,8.84569462110731,,0.0026159126294909
0.50,6,8.838426151962384,8.773493368058928,8.774759576946753,8.823800020449182,8.848816331415971,8.78271223069826,0.254049356393433
0.75,1,10.24530731522939,,,,,,-0.258686648710395
0.75,2,10.396853592883058,10.307328671305559,,,,,-0.0125348820878507
0.75,3,10.402888781480588,10.437364514754073,10.344272293816994,,,,0.202018518175843
0.75,4,10.303605232517157,10.361787870602832,10.300259570967448,10.401986266711207,,,0.359986374330019
0.75,5,10.508299908616856,10.465466042027272,10.394087185430047,10.315253246929288,10.373790980549213,,0.151318292431995
0.75,6,10.358442209053122,10.3715495237213,10.350898223306213,10.476758960905151,10.449368161343639,10.394087185430047,-0.284710212459547
0.89,1,11.446074701437224,,,,,,-0.0408172895859671
0.89,2,11.46612913307433,11.46612913307433,,,,,-0.0903746773552215
0.89,3,11.436078917462664,11.416087349513544,11.456070485411784,,,,-0.0879715713006497
0.89,4,11.440077231052488,11.434117478880543,11.45207217182196,11.446112419650017,,,-0.0263438223142227
0.89,5,11.446074701437224,11.416087349513544,11.446074701437224,11.446074701437224,11.461162672931042,,-0.251449286665183
0.89,6,11.456070485411784,11.436078917462664,11.456070485411784,11.46612913307433,11.456070485411784,11.456070485411784,-0.65579535772778
1.00,1,12.527788769365808,,,,,,-0.0018026553995342
1.00,2,12.527788769365808,12.527788769365808,,,,,0.0565618253529178
1.00,3,12.527788769365808,12.527788769365808,12.527788769365808,,,,-0.0778953936438374
1.00,4,12.527788769365808,12.527788769365808,12.527788769365808,12.527788769365808,,,-0.313389959150109
1.00,5,12.527788769365808,12.527788769365808,12.527788769365808,12.527788769365808,12.527788769365808,,-0.439428514550529
1.00,6,12.527788769365808,12.527788769365808,12.527788769365808,12.527788769365808,12.527788769365808,12.527788769365808,-0.452271138851552
